1 of 41 files violated regex and were excluded
1 of 41 files violated regex and were excluded
Accuracy: 

    iter   |    MAV    |     LS    |    SSC    |     WL    |     ZC    |    MFL    |    MSR    |    WAMP   |    RMS    |    IAV    |   DASDV   |     M0    |     M2    |     M4    |   SPARSI  |    IRF    |    WLF    |     AR    |     CC    |     LD    |   MAVFD   |   MAVSLP  |    MDF    |    MNF    |    MPK    |    SKEW   |    KURT   |    VAR    |    MNP    
     21    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   
     22    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   
     23    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   
     24    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |    99.9   |    99.9   
     25    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |    99.9   |    99.9   
     26    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |    99.9   
     27    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |    99.9   |    99.9   
     28    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |    99.9   
Accuracy on Subset: 

    iter   |    MAV    |     ZC    |     WL    |    SSC    |     LS    |    MFL    |    MSR    |    WAMP   |    RMS    |    IAV    |   DASDV   |     M0    |    VAR    |     M2    |   SPARSI  |     M4    |     AR    |    IRF    |    WLF    |     CC    |     LD    |   MAVFD   |    MDF    |   MAVSLP  |    MPK    |    MNF    |    SKEW   |    MNP    |    KURT   
========================================================================================================================================================================================================================================================================================================================================================================
     0     |   100.0   |    88.9   |    99.9   |    59.2   |   100.0   |   100.0   |   100.0   |    88.3   |   100.0   |   100.0   |   100.0   |    98.0   |    97.3   |    69.3   |    53.0   |    67.8   |    95.4   |    52.3   |    39.3   |    94.5   |   100.0   |   100.0   |    79.7   |    19.4   |    99.8   |    90.1   |    54.1   |    97.5   |    55.2   
     1     |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   
     2     |           |           |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   
     3     |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     4     |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     5     |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     6     |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.8   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     7     |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     8     |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   
     9     |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   
     10    |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     11    |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   
     12    |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   
     13    |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.9   
     14    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |    99.9   |   100.0   |    99.9   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.8   |    99.9   |   100.0   |    99.9   |    99.9   |    99.9   
     15    |           |           |           |           |           |           |           |           |           |           |           |           |           |           |           |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |   100.0   |    99.8   
